item_id,_orig_index,source,model,prompt_type,dor_human_median,dor_judge_median,dor_judge_calibrated_to_human,ori_human_median,ori_judge_median,ori_judge_calibrated_to_human
51,5547,ARC,model_ds_v3,adversarial,8.0,7.0,8.375000131245034,8.0,5.0,7.000000262359721
52,9831,ARC,model_gpt_4o_mini,naive,1.0,8.0,8.625000018744016,6.0,5.5,7.000000242563541
53,6544,HellaSwag,model_gpt_41_nano,cot,9.0,9.0,8.874999906243,8.0,7.5,7.000000163378821
54,4149,ARC,model_gpt_41_nano,naive,2.0,8.0,8.625000018744016,4.0,5.5,7.000000242563541
55,5323,MMLU,model_ds_v3,adversarial,9.0,6.0,8.125000243746051,7.0,6.5,7.00000020297118
56,1061,ARC,model_gpt_4o_mini,adversarial,9.0,8.5,8.749999962493508,8.0,7.5,7.000000163378821
57,4982,MMLU,model_claude_35_haiku,cot,9.0,9.0,8.874999906243,9.0,8.0,7.00000014358264
58,1308,MMLU,model_claude_35_haiku,cot,8.0,8.5,8.749999962493508,7.0,6.0,7.00000022276736
59,9186,HellaSwag,model_claude_35_haiku,naive,6.0,8.0,8.625000018744016,5.0,6.5,7.00000020297118
60,1909,ARC,model_claude_35_haiku,cot,9.0,8.0,8.625000018744016,8.0,6.0,7.00000022276736
61,3545,HellaSwag,model_gpt_41_nano,naive,1.0,9.0,8.874999906243,4.0,7.5,7.000000163378821
62,1735,MMLU,model_gpt_4o_mini,adversarial,10.0,7.5,8.500000074994524,9.0,6.0,7.00000022276736
63,4171,ARC,model_grok_3_mini_beta,cot,8.0,8.0,8.625000018744016,8.0,6.5,7.00000020297118
64,6558,HellaSwag,model_claude_35_haiku,cot,7.0,8.5,8.749999962493508,7.0,8.5,7.00000012378646
65,3084,ARC,model_gpt_4o_mini,naive,2.0,6.0,8.125000243746051,5.0,5.5,7.000000242563541
66,8244,ARC,model_ds_v3,naive,1.0,8.5,8.749999962493508,6.0,7.5,7.000000163378821
67,2925,HellaSwag,model_gpt_4o_mini,cot,10.0,6.5,8.250000187495543,8.0,4.0,7.000000301952081
68,9982,ARC,model_gpt_4o_mini,naive,1.0,7.0,8.375000131245034,4.0,5.0,7.000000262359721
69,3605,MMLU,model_gpt_4o_mini,naive,1.0,8.0,8.625000018744016,5.0,5.0,7.000000262359721
70,4163,ARC,model_claude_35_haiku,naive,1.0,9.0,8.874999906243,7.0,6.0,7.00000022276736
71,728,ARC,model_grok_3_mini_beta,naive,1.0,5.5,8.00000029999656,5.0,4.0,7.000000301952081
72,8038,HellaSwag,model_gpt_4o_mini,adversarial,9.0,7.5,8.500000074994524,9.0,6.0,7.00000022276736
73,1191,MMLU,model_ds_v3,naive,4.0,7.5,8.500000074994524,4.0,6.0,7.00000022276736
74,2040,MMLU,model_gpt_41_nano,cot,7.0,7.5,8.500000074994524,8.0,6.5,7.00000020297118
75,9038,ARC,model_claude_35_haiku,naive,2.0,6.5,8.250000187495543,8.0,3.5,7.000000321748261
76,5535,ARC,model_ds_v3,cot,9.0,6.5,8.250000187495543,7.0,5.0,7.000000262359721
77,8604,MMLU,model_grok_3_mini_beta,naive,4.0,7.5,8.500000074994524,4.0,6.0,7.00000022276736
78,3484,ARC,model_claude_35_haiku,cot,7.0,9.0,8.874999906243,8.0,7.5,7.000000163378821
79,9292,ARC,model_ds_v3,naive,1.0,7.0,8.375000131245034,1.0,6.0,7.00000022276736
80,7706,ARC,model_grok_3_mini_beta,adversarial,10.0,8.0,8.625000018744016,9.0,6.5,7.00000020297118
81,9462,HellaSwag,model_gpt_4o_mini,adversarial,9.0,9.0,8.874999906243,9.0,6.5,7.00000020297118
82,759,MMLU,model_gpt_4o_mini,naive,1.0,7.5,8.500000074994524,3.0,5.0,7.000000262359721
83,9110,ARC,model_claude_35_haiku,naive,1.0,8.5,8.749999962493508,5.0,6.5,7.00000020297118
84,4398,HellaSwag,model_grok_3_mini_beta,cot,9.0,8.5,8.749999962493508,8.0,6.5,7.00000020297118
85,3169,MMLU,model_gpt_41_nano,cot,8.0,9.0,8.874999906243,7.0,6.5,7.00000020297118
86,964,MMLU,model_ds_v3,cot,9.0,8.5,8.749999962493508,6.0,6.5,7.00000020297118
87,7421,HellaSwag,model_ds_v3,adversarial,7.0,9.0,8.874999906243,6.0,6.5,7.00000020297118
88,9781,HellaSwag,model_claude_35_haiku,cot,8.0,5.5,8.00000029999656,7.0,5.0,7.000000262359721
89,8727,MMLU,model_gpt_41_nano,adversarial,8.0,8.5,8.749999962493508,7.0,6.5,7.00000020297118
90,3415,HellaSwag,model_claude_35_haiku,adversarial,9.0,8.0,8.625000018744016,8.0,6.0,7.00000022276736
91,9938,MMLU,model_claude_35_haiku,naive,1.0,9.0,8.874999906243,4.0,8.2,7.000000135664168
92,9219,HellaSwag,model_ds_v3,naive,2.0,8.5,8.749999962493508,5.0,6.0,7.00000022276736
93,1849,MMLU,model_grok_3_mini_beta,cot,10.0,8.5,8.749999962493508,7.0,7.5,7.000000163378821
94,6531,HellaSwag,model_gpt_4o_mini,naive,2.0,8.5,8.749999962493508,5.0,6.5,7.00000020297118
95,8796,MMLU,model_gpt_41_nano,naive,3.0,8.5,8.749999962493508,5.0,6.5,7.00000020297118
96,8590,MMLU,model_claude_35_haiku,adversarial,9.0,7.0,8.375000131245034,9.0,5.5,7.000000242563541
97,9271,ARC,model_grok_3_mini_beta,cot,9.0,7.0,8.375000131245034,7.0,6.0,7.00000022276736
98,3363,HellaSwag,model_ds_v3,cot,9.0,9.5,8.999999849992491,7.0,8.5,7.00000012378646
99,1692,MMLU,model_claude_35_haiku,adversarial,10.0,9.0,8.874999906243,7.0,7.0,7.0000001831750005
100,2209,HellaSwag,model_claude_35_haiku,cot,9.0,8.5,8.749999962493508,7.0,7.5,7.000000163378821
101,9200,HellaSwag,model_grok_3_mini_beta,naive,1.0,9.0,8.874999906243,5.0,7.5,7.000000163378821
102,468,MMLU,model_gpt_41_nano,cot,9.0,8.5,8.749999962493508,7.0,5.5,7.000000242563541
103,4864,HellaSwag,model_ds_v3,cot,9.0,9.0,8.874999906243,7.0,7.5,7.000000163378821
104,4651,HellaSwag,model_gpt_4o_mini,cot,9.0,9.0,8.874999906243,8.0,7.5,7.000000163378821
105,3976,ARC,model_gpt_4o_mini,cot,7.0,9.2,8.924999883742796,7.0,6.5,7.00000020297118
106,8859,MMLU,model_gpt_4o_mini,naive,5.0,9.0,8.874999906243,5.0,7.5,7.000000163378821
107,5464,HellaSwag,model_ds_v3,cot,9.0,8.5,8.749999962493508,7.0,6.5,7.00000020297118
108,3401,HellaSwag,model_gpt_41_nano,adversarial,9.0,3.5,7.500000524998593,7.0,3.5,7.000000321748261
109,8801,MMLU,model_gpt_41_nano,adversarial,9.0,7.0,8.375000131245034,8.0,5.0,7.000000262359721
110,582,ARC,model_grok_3_mini_beta,adversarial,9.0,9.0,8.874999906243,8.0,6.5,7.00000020297118
111,8186,ARC,model_gpt_4o_mini,adversarial,7.0,9.0,8.874999906243,7.0,6.5,7.00000020297118
112,2092,MMLU,model_ds_v3,naive,1.0,8.5,8.749999962493508,2.0,7.5,7.000000163378821
113,8788,MMLU,model_gpt_4o_mini,adversarial,9.0,9.0,8.874999906243,9.0,7.5,7.000000163378821
114,8969,ARC,model_claude_35_haiku,adversarial,8.0,6.5,8.250000187495543,8.0,5.0,7.000000262359721
115,1238,HellaSwag,model_claude_35_haiku,naive,1.0,6.0,8.125000243746051,5.0,3.0,7.000000341544441
116,6991,ARC,model_gpt_41_nano,cot,9.0,7.0,8.375000131245034,8.0,5.0,7.000000262359721
117,6490,ARC,model_claude_35_haiku,adversarial,9.0,9.0,8.874999906243,7.0,7.5,7.000000163378821
118,19,ARC,model_gpt_41_nano,cot,7.0,8.5,8.749999962493508,8.0,5.5,7.000000242563541
119,3662,MMLU,model_ds_v3,cot,9.0,9.0,8.874999906243,7.0,6.0,7.00000022276736
120,2098,MMLU,model_ds_v3,adversarial,9.0,8.0,8.625000018744016,7.0,5.5,7.000000242563541
121,1820,MMLU,model_gpt_41_nano,naive,1.0,9.0,8.874999906243,5.0,6.5,7.00000020297118
122,4779,HellaSwag,model_grok_3_mini_beta,naive,4.0,9.0,8.874999906243,4.0,6.0,7.00000022276736
123,5251,MMLU,model_gpt_4o_mini,cot,8.0,7.0,8.375000131245034,7.0,5.5,7.000000242563541
124,4813,HellaSwag,model_gpt_4o_mini,adversarial,10.0,8.5,8.749999962493508,9.0,5.5,7.000000242563541
125,1996,HellaSwag,model_grok_3_mini_beta,cot,10.0,8.0,8.625000018744016,7.0,4.0,7.000000301952081
126,8157,HellaSwag,model_grok_3_mini_beta,adversarial,10.0,8.0,8.625000018744016,8.0,6.5,7.00000020297118
127,1279,MMLU,model_gpt_4o_mini,cot,10.0,9.0,8.874999906243,8.0,6.5,7.00000020297118
128,3651,MMLU,model_grok_3_mini_beta,naive,1.0,9.0,8.874999906243,4.0,6.0,7.00000022276736
129,700,ARC,model_gpt_41_nano,adversarial,10.0,9.0,8.874999906243,7.0,7.5,7.000000163378821
130,4415,HellaSwag,model_ds_v3,naive,2.0,8.5,8.749999962493508,5.0,8.0,7.00000014358264
131,5346,HellaSwag,model_gpt_41_nano,naive,2.0,8.5,8.749999962493508,5.0,8.0,7.00000014358264
132,2467,MMLU,model_ds_v3,naive,1.0,8.5,8.749999962493508,4.0,6.0,7.00000022276736
133,7710,ARC,model_ds_v3,cot,9.0,5.0,7.875000356247067,6.0,5.0,7.000000262359721
134,9717,MMLU,model_claude_35_haiku,adversarial,9.0,9.0,8.874999906243,7.0,7.5,7.000000163378821
135,960,MMLU,model_ds_v3,cot,9.0,9.0,8.874999906243,7.0,7.5,7.000000163378821
